wins,league,division_id,name,gameID,name_full,code,league_id,teamID,type,losses,file_code,abbrev,name_brief
1,NL,203,San Diego,2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,San Diego Padres,sdn,104,135,home,4,sd,SD,Padres
2,AL,200,Texas,2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,Texas Rangers,tex,103,140,away,2,tex,TEX,Rangers
2,NL,205,Pittsburgh,2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,Pittsburgh Pirates,pit,104,134,home,3,pit,PIT,Pirates
3,AL,201,Toronto,2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,Toronto Blue Jays,tor,103,141,away,2,tor,TOR,Blue Jays
3,AL,200,LA Angels,2012/03/08/gid_2012_03_08_anamlb_clemlb_1/,Los Angeles Angels,ana,103,108,away,1,ana,LAA,Angels
2,AL,202,Cleveland,2012/03/08/gid_2012_03_08_anamlb_clemlb_1/,Cleveland Indians,cle,103,114,home,3,cle,CLE,Indians
3,AL,,Baltimore,2012/03/08/gid_2012_03_08_atlmlb_balmlb_1/,Baltimore Orioles,bal,103,110,home,2,bal,BAL,Orioles
1,NL,,Atlanta,2012/03/08/gid_2012_03_08_atlmlb_balmlb_1/,Atlanta Braves,atl,104,144,away,5,atl,ATL,Braves
3,AL,201,Boston,2012/03/08/gid_2012_03_08_bosmlb_slnmlb_1/,Boston Red Sox,bos,103,111,away,1,bos,BOS,Red Sox
1,NL,205,St. Louis,2012/03/08/gid_2012_03_08_bosmlb_slnmlb_1/,St. Louis Cardinals,sln,104,138,home,2,stl,STL,Cardinals
2,AL,200,Texas,2012/03/08/gid_2012_03_08_chamlb_texmlb_1/,Texas Rangers,tex,103,140,home,3,tex,TEX,Rangers
1,AL,202,Chi White Sox,2012/03/08/gid_2012_03_08_chamlb_texmlb_1/,Chicago White Sox,cha,103,145,away,3,cws,CWS,White Sox
3,NL,205,Cincinnati,2012/03/08/gid_2012_03_08_cinmlb_milmlb_1/,Cincinnati Reds,cin,104,113,away,2,cin,CIN,Reds
2,NL,205,Milwaukee,2012/03/08/gid_2012_03_08_cinmlb_milmlb_1/,Milwaukee Brewers,mil,104,158,home,2,mil,MIL,Brewers
6,AL,202,Detroit,2012/03/08/gid_2012_03_08_detmlb_tbamlb_1/,Detroit Tigers,det,103,116,away,0,det,DET,Tigers
2,AL,201,Tampa Bay,2012/03/08/gid_2012_03_08_detmlb_tbamlb_1/,Tampa Bay Rays,tba,103,139,home,5,tb,TB,Rays
4,NL,,Houston,2012/03/08/gid_2012_03_08_houmlb_wasmlb_1/,Houston Astros,hou,104,117,away,2,hou,HOU,Astros
3,NL,,Washington,2012/03/08/gid_2012_03_08_houmlb_wasmlb_1/,Washington Nationals,was,104,120,home,2,was,WSH,Nationals
1,NL,,Colorado,2012/03/08/gid_2012_03_08_kcamlb_colmlb_1/,Colorado Rockies,col,104,115,home,3,col,COL,Rockies
4,AL,,Kansas City,2012/03/08/gid_2012_03_08_kcamlb_colmlb_1/,Kansas City Royals,kca,103,118,away,2,kc,KC,Royals
2,NL,,NY Mets,2012/03/08/gid_2012_03_08_miamlb_nynmlb_1/,New York Mets,nyn,104,121,home,3,nym,NYM,Mets
2,NL,,Miami,2012/03/08/gid_2012_03_08_miamlb_nynmlb_1/,Miami Marlins,mia,104,146,away,2,mia,MIA,Marlins
4,AL,,Toronto,2012/03/08/gid_2012_03_08_nyamlb_tormlb_1/,Toronto Blue Jays,tor,103,141,home,2,tor,TOR,Blue Jays
2,AL,,NY Yankees,2012/03/08/gid_2012_03_08_nyamlb_tormlb_1/,New York Yankees,nya,103,147,away,4,nyy,NYY,Yankees
2,NL,,LA Dodgers,2012/03/08/gid_2012_03_08_oakmlb_lanmlb_1/,Los Angeles Dodgers,lan,104,119,home,1,la,LAD,Dodgers
4,AL,,Oakland,2012/03/08/gid_2012_03_08_oakmlb_lanmlb_1/,Oakland Athletics,oak,103,133,away,3,oak,OAK,Athletics
2,NL,205,Pittsburgh,2012/03/08/gid_2012_03_08_pitmlb_phimlb_1/,Pittsburgh Pirates,pit,104,134,away,4,pit,PIT,Pirates
