game_time_et,type,away_team_id,stadiumID,gameDate,gameID,local_gamE_time,gameday_sw,home_team_id,game_pk
01:05 PM,S,134,2508,2012/03/14,2012/03/14/gid_2012_03_14_pitmlb_balmlb_1/,13:05,Y,110,332279
04:10 PM,S,135,4249,2012/03/14,2012/03/14/gid_2012_03_14_sdnmlb_arimlb_1/,13:10,Y,109,332280
04:05 PM,S,135,3834,2012/03/14,2012/03/14/gid_2012_03_14_sdnmlb_cinmlb_1/,13:05,Y,113,332281
06:05 PM,S,120,2504,2012/03/14,2012/03/14/gid_2012_03_14_wasmlb_atlmlb_1/,18:05,Y,144,332282
04:05 PM,S,109,2507,2012/03/15,2012/03/15/gid_2012_03_15_arimlb_chnmlb_1/,13:05,Y,112,332283
01:05 PM,S,144,2700,2012/03/15,2012/03/15/gid_2012_03_15_atlmlb_phimlb_1/,13:05,Y,143,332284
01:05 PM,S,110,2511,2012/03/15,2012/03/15/gid_2012_03_15_balmlb_detmlb_1/,13:05,Y,116,332285
04:05 PM,S,145,3834,2012/03/15,2012/03/15/gid_2012_03_15_chamlb_clemlb_1/,13:05,Y,114,332286
04:10 PM,S,112,4249,2012/03/15,2012/03/15/gid_2012_03_15_chnmlb_colmlb_1/,13:10,Y,115,332287
04:05 PM,S,113,2500,2012/03/15,2012/03/15/gid_2012_03_15_cinmlb_anamlb_1/,13:05,Y,108,332288
04:05 PM,S,118,3809,2012/03/15,2012/03/15/gid_2012_03_15_kcamlb_lanmlb_1/,13:05,Y,119,332289
01:05 PM,S,147,2513,2012/03/15,2012/03/15/gid_2012_03_15_nyamlb_wasmlb_1/,13:05,Y,120,332290
01:05 PM,S,121,2520,2012/03/15,2012/03/15/gid_2012_03_15_nynmlb_miamlb_1/,13:05,Y,146,332291
04:05 PM,S,133,2603,2012/03/15,2012/03/15/gid_2012_03_15_oakmlb_texmlb_1/,13:05,E,140,332292
01:05 PM,S,143,2534,2012/03/15,2012/03/15/gid_2012_03_15_phimlb_tbamlb_1/,13:05,Y,139,332293
01:05 PM,S,134,2519,2012/03/15,2012/03/15/gid_2012_03_15_pitmlb_minmlb_1/,13:05,Y,142,332294
04:05 PM,S,135,2518,2012/03/15,2012/03/15/gid_2012_03_15_sdnmlb_milmlb_1/,13:05,Y,158,332295
10:05 PM,S,137,2530,2012/03/15,2012/03/15/gid_2012_03_15_sfnmlb_seamlb_1/,19:05,E,136,332296
02:35 PM,S,138,4309,2012/03/15,2012/03/15/gid_2012_03_15_slnmlb_bosmlb_1/,14:35,Y,111,332297
01:05 PM,S,141,2514,2012/03/15,2012/03/15/gid_2012_03_15_tormlb_houmlb_1/,13:05,Y,117,332298
04:05 PM,S,108,2530,2012/03/16,2012/03/16/gid_2012_03_16_anamlb_sdnmlb_1/,13:05,E,135,332299
01:05 PM,S,110,2519,2012/03/16,2012/03/16/gid_2012_03_16_balmlb_minmlb_1/,13:05,Y,142,332300
04:10 PM,S,145,4249,2012/03/16,2012/03/16/gid_2012_03_16_chamlb_arimlb_1/,13:10,Y,109,332301
04:05 PM,S,114,2500,2012/03/16,2012/03/16/gid_2012_03_16_clemlb_anamlb_1/,13:05,Y,108,332302
10:05 PM,S,115,3834,2012/03/16,2012/03/16/gid_2012_03_16_colmlb_cinmlb_1/,19:05,Y,113,332303
