stadiumID,sun_endCivilTwilight,venue_w_chan_loc,sunRise,sunSet,sun_upperTransit,gameID,name,location,sun_beginCivilTwilight
2524,N/A,USAZ0166,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_cinmlb_oakmlb_1/,Phoenix Municipal Stadium,"Phoenix, AZ",N/A
2603,N/A,USAZ0229,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_colmlb_kcamlb_1/,Surprise Stadium,"Surprise, AZ",N/A
2536,N/A,USFL0119,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_houmlb_tormlb_1/,Florida Auto Exchange Stadium,"Dunedin, FL",N/A
3809,N/A,USAZ0083,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_lanmlb_chamlb_1/,Camelback Ranch,"Glendale, AZ",N/A
2530,N/A,USAZ0162,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_lanmlb_seamlb_1/,Peoria Stadium,"Peoria, AZ",N/A
2532,N/A,USAZ0207,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_milmlb_sfnmlb_1/,Scottsdale Stadium,"Scottsdale, AZ",N/A
2526,N/A,USFL0047,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_minmlb_pitmlb_1/,McKechnie Field,"Bradenton, FL",N/A
2504,N/A,USFL0372,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_nyamlb_atlmlb_1/,Champion Stadium,"Lake Buena Vista, FL",N/A
2513,N/A,USFL0579,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_nynmlb_wasmlb_1/,Space Coast Stadium,"Viera, FL",N/A
3834,N/A,USAZ0087,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_sdnmlb_clemlb_1/,Goodyear Ballpark,"Goodyear, AZ",N/A
4249,N/A,USAZ0207,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_seamlb_arimlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",N/A
2500,N/A,USAZ0233,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_sfnmlb_anamlb_1/,Tempe Diablo Stadium,"Tempe, AZ",N/A
2520,N/A,USFL0237,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_slnmlb_miamlb_1/,Roger Dean Stadium,"Jupiter, FL",N/A
4309,N/A,USFL0152,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_tbamlb_bosmlb_1/,JetBlue Park,"Ft. Myers, FL",N/A
3809,N/A,USAZ0083,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_texmlb_chamlb_1/,Camelback Ranch,"Glendale, AZ",N/A
2511,N/A,USFL0267,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_wasmlb_detmlb_1/,Joker Marchant Stadium,"Lakeland, FL",N/A
3834,N/A,USAZ0087,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_anamlb_cinmlb_1/,Goodyear Ballpark,"Goodyear, AZ",N/A
2530,N/A,USAZ0162,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_arimlb_sdnmlb_1/,Peoria Stadium,"Peoria, AZ",N/A
2536,N/A,USFL0119,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_atlmlb_tormlb_1/,Florida Auto Exchange Stadium,"Dunedin, FL",N/A
2508,N/A,USFL0446,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_bosmlb_balmlb_1/,Ed Smith Stadium,"Sarasota, FL",N/A
4249,N/A,USAZ0207,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_chamlb_colmlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",N/A
3809,N/A,USAZ0083,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_chnmlb_lanmlb_1/,Camelback Ranch,"Glendale, AZ",N/A
2500,N/A,USAZ0233,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_clemlb_anamlb_1/,Tempe Diablo Stadium,"Tempe, AZ",N/A
2603,N/A,USAZ0229,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_clemlb_texmlb_1/,Surprise Stadium,"Surprise, AZ",N/A
2518,N/A,USAZ0166,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_colmlb_milmlb_1/,Maryvale Baseball Park,"Phoenix, AZ",N/A
2514,N/A,USFL0248,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_detmlb_houmlb_1/,Osceola County Stadium,"Kissimmee, FL",N/A
2700,N/A,USFL0084,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_detmlb_phimlb_1/,Bright House Field,"Clearwater, FL",N/A
2524,N/A,USAZ0166,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_kcamlb_oakmlb_1/,Phoenix Municipal Stadium,"Phoenix, AZ",N/A
2856,N/A,USFL0419,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_miamlb_nynmlb_1/,Digital Domain Park,"Port St. Lucie, FL",N/A
2519,N/A,USFL0152,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_nyamlb_minmlb_1/,Lee County Sports Complex,"Lee County, FL",N/A
2523,N/A,USFL0481,N/A,N/A,N/A,2012/03/11/gid_2012_03_11_phimlb_nyamlb_1/,George M. Steinbrenner Field,"Tampa, FL",N/A
