home_team_code,venue_id,home_wins,away_team_code,status_ind,home_id,game_id,away_wins,game_pk,date,home_sname,home_sport_code,away_id,away_sname,away_loss,home_loss,away_fname,home_fname,venue_name
cin,3834,3,lan,F,113,2014/03/05/gid_2014_03_05_lanmlb_cinmlb_1/,3,396217,"March 5, 2014",Cincinnati,mlb,119,LA Dodgers,4,5,Los Angeles Dodgers,Cincinnati Reds,Goodyear Ballpark
nyn,2856,2,mia,F,121,2014/03/05/gid_2014_03_05_miamlb_nynmlb_1/,5,396382,"March 5, 2014",NY Mets,mlb,146,Miami,2,5,Miami Marlins,New York Mets,Tradition Field
tba,2534,4,nya,F,139,2014/03/05/gid_2014_03_05_nyamlb_tbamlb_1/,4,396520,"March 5, 2014",Tampa Bay,mlb,147,NY Yankees,4,1,New York Yankees,Tampa Bay Rays,Charlotte Sports Park
was,2513,4,nyn,F,120,2014/03/05/gid_2014_03_05_nynmlb_wasmlb_1/,2,396567,"March 5, 2014",Washington,mlb,121,NY Mets,5,2,New York Mets,Washington Nationals,Space Coast Stadium
mil,2518,4,oak,F,158,2014/03/05/gid_2014_03_05_oakmlb_milmlb_1/,5,396348,"March 5, 2014",Milwaukee,mlb,133,Oakland,3,4,Oakland Athletics,Milwaukee Brewers,Maryvale Baseball Park
tor,2536,4,pit,F,141,2014/03/05/gid_2014_03_05_pitmlb_tormlb_1/,6,396551,"March 5, 2014",Toronto,mlb,134,Pittsburgh,1,4,Pittsburgh Pirates,Toronto Blue Jays,Florida Auto Exchange Stadium
cha,3809,2,sdn,F,145,2014/03/05/gid_2014_03_05_sdnmlb_chamlb_1/,2,396202,"March 5, 2014",Chi White Sox,mlb,135,San Diego,5,3,San Diego Padres,Chicago White Sox,Camelback Ranch
mia,2520,5,bos,FR,146,2014/03/06/gid_2014_03_06_bosmlb_miamlb_1/,1,396335,"March 6, 2014",Miami,mlb,111,Boston,5,2,Boston Red Sox,Miami Marlins,Roger Dean Stadium
kca,2603,5,cha,FT,118,2014/03/06/gid_2014_03_06_chamlb_kcamlb_1/,2,396294,"March 6, 2014",Kansas City,mlb,145,Chi White Sox,4,2,Chicago White Sox,Kansas City Royals,Surprise Stadium
cle,3834,7,chn,F,114,2014/03/06/gid_2014_03_06_chnmlb_clemlb_1/,2,396233,"March 6, 2014",Cleveland,mlb,112,Chi Cubs,5,1,Chicago Cubs,Cleveland Indians,Goodyear Ballpark
sfn,2532,5,cin,F,137,2014/03/06/gid_2014_03_06_cinmlb_sfnmlb_1/,3,396478,"March 6, 2014",San Francisco,mlb,113,Cincinnati,6,3,Cincinnati Reds,San Francisco Giants,Scottsdale Stadium
mil,2518,5,col,F,158,2014/03/06/gid_2014_03_06_colmlb_milmlb_1/,3,396349,"March 6, 2014",Milwaukee,mlb,115,Colorado,6,4,Colorado Rockies,Milwaukee Brewers,Maryvale Baseball Park
