gameID,gameDate,type,local_gamE_time,game_pk,game_time_et,gameday_sw,home_team_id,away_team_id,stadiumID
2012/03/14/gid_2012_03_14_miamlb_tbamlb_1/,2012/03/14,S,13:05,332274,"01:05 PM",Y,139,146,2534
2012/03/14/gid_2012_03_14_milmlb_chnmlb_1/,2012/03/14,S,13:05,332275,"04:05 PM",Y,112,158,2507
2012/03/14/gid_2012_03_14_minmlb_phimlb_1/,2012/03/14,S,13:05,332276,"01:05 PM",Y,143,142,2700
2012/03/14/gid_2012_03_14_nyamlb_tormlb_1/,2012/03/14,S,13:05,332277,"01:05 PM",Y,141,147,2536
2012/03/14/gid_2012_03_14_nynmlb_detmlb_1/,2012/03/14,S,13:05,332278,"01:05 PM",Y,116,121,2511
2012/03/14/gid_2012_03_14_pitmlb_balmlb_1/,2012/03/14,S,13:05,332279,"01:05 PM",Y,110,134,2508
2012/03/14/gid_2012_03_14_sdnmlb_arimlb_1/,2012/03/14,S,13:10,332280,"04:10 PM",Y,109,135,4249
2012/03/14/gid_2012_03_14_sdnmlb_cinmlb_1/,2012/03/14,S,13:05,332281,"04:05 PM",Y,113,135,3834
2012/03/14/gid_2012_03_14_wasmlb_atlmlb_1/,2012/03/14,S,18:05,332282,"06:05 PM",Y,144,120,2504
2012/03/15/gid_2012_03_15_arimlb_chnmlb_1/,2012/03/15,S,13:05,332283,"04:05 PM",Y,112,109,2507
2012/03/15/gid_2012_03_15_atlmlb_phimlb_1/,2012/03/15,S,13:05,332284,"01:05 PM",Y,143,144,2700
2012/03/15/gid_2012_03_15_balmlb_detmlb_1/,2012/03/15,S,13:05,332285,"01:05 PM",Y,116,110,2511
2012/03/15/gid_2012_03_15_chamlb_clemlb_1/,2012/03/15,S,13:05,332286,"04:05 PM",Y,114,145,3834
2012/03/15/gid_2012_03_15_chnmlb_colmlb_1/,2012/03/15,S,13:10,332287,"04:10 PM",Y,115,112,4249
2012/03/15/gid_2012_03_15_cinmlb_anamlb_1/,2012/03/15,S,13:05,332288,"04:05 PM",Y,108,113,2500
2012/03/15/gid_2012_03_15_kcamlb_lanmlb_1/,2012/03/15,S,13:05,332289,"04:05 PM",Y,119,118,3809
2012/03/15/gid_2012_03_15_nyamlb_wasmlb_1/,2012/03/15,S,13:05,332290,"01:05 PM",Y,120,147,2513
2012/03/15/gid_2012_03_15_nynmlb_miamlb_1/,2012/03/15,S,13:05,332291,"01:05 PM",Y,146,121,2520
2012/03/15/gid_2012_03_15_oakmlb_texmlb_1/,2012/03/15,S,13:05,332292,"04:05 PM",E,140,133,2603
2012/03/15/gid_2012_03_15_phimlb_tbamlb_1/,2012/03/15,S,13:05,332293,"01:05 PM",Y,139,143,2534
2012/03/15/gid_2012_03_15_pitmlb_minmlb_1/,2012/03/15,S,13:05,332294,"01:05 PM",Y,142,134,2519
2012/03/15/gid_2012_03_15_sdnmlb_milmlb_1/,2012/03/15,S,13:05,332295,"04:05 PM",Y,158,135,2518
2012/03/15/gid_2012_03_15_sfnmlb_seamlb_1/,2012/03/15,S,19:05,332296,"10:05 PM",E,136,137,2530
2012/03/15/gid_2012_03_15_slnmlb_bosmlb_1/,2012/03/15,S,14:35,332297,"02:35 PM",Y,111,138,4309
2012/03/15/gid_2012_03_15_tormlb_houmlb_1/,2012/03/15,S,13:05,332298,"01:05 PM",Y,117,141,2514
