gameID,type,code,file_code,abbrev,teamID,name,name_full,name_brief,wins,losses,division_id,league_id,league
2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,home,cha,cws,CWS,145,"Chi White Sox","Chicago White Sox","White Sox",0,3,NULL,103,AL
2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,away,mil,mil,MIL,158,Milwaukee,"Milwaukee Brewers",Brewers,2,1,NULL,104,NL
2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,home,bal,bal,BAL,110,Baltimore,"Baltimore Orioles",Orioles,2,2,201,103,AL
2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,away,min,min,MIN,142,Minnesota,"Minnesota Twins",Twins,3,3,202,103,AL
2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,away,nyn,nym,NYM,121,"NY Mets","New York Mets",Mets,2,2,NULL,104,NL
2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,home,mia,mia,MIA,146,Miami,"Miami Marlins",Marlins,1,2,NULL,104,NL
2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,home,cin,cin,CIN,113,Cincinnati,"Cincinnati Reds",Reds,2,2,205,104,NL
2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,away,sdn,sd,SD,135,"San Diego","San Diego Padres",Padres,1,4,203,104,NL
2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,home,ana,ana,LAA,108,"LA Angels","Los Angeles Angels",Angels,2,1,200,103,AL
2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,away,sea,sea,SEA,136,Seattle,"Seattle Mariners",Mariners,5,1,200,103,AL
2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,home,was,was,WSH,120,Washington,"Washington Nationals",Nationals,2,2,NULL,104,NL
2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,away,sln,stl,STL,138,"St. Louis","St. Louis Cardinals",Cardinals,0,2,NULL,104,NL
2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,away,tba,tb,TB,139,"Tampa Bay","Tampa Bay Rays",Rays,1,4,NULL,103,AL
2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,home,nya,nyy,NYY,147,"NY Yankees","New York Yankees",Yankees,2,3,NULL,103,AL
2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,home,sdn,sd,SD,135,"San Diego","San Diego Padres",Padres,1,4,203,104,NL
2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,away,tex,tex,TEX,140,Texas,"Texas Rangers",Rangers,2,2,200,103,AL
2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,home,pit,pit,PIT,134,Pittsburgh,"Pittsburgh Pirates",Pirates,2,3,205,104,NL
2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,away,tor,tor,TOR,141,Toronto,"Toronto Blue Jays","Blue Jays",3,2,201,103,AL
2012/03/08/gid_2012_03_08_anamlb_clemlb_1/,away,ana,ana,LAA,108,"LA Angels","Los Angeles Angels",Angels,3,1,200,103,AL
2012/03/08/gid_2012_03_08_anamlb_clemlb_1/,home,cle,cle,CLE,114,Cleveland,"Cleveland Indians",Indians,2,3,202,103,AL
2012/03/08/gid_2012_03_08_atlmlb_balmlb_1/,home,bal,bal,BAL,110,Baltimore,"Baltimore Orioles",Orioles,3,2,NULL,103,AL
2012/03/08/gid_2012_03_08_atlmlb_balmlb_1/,away,atl,atl,ATL,144,Atlanta,"Atlanta Braves",Braves,1,5,NULL,104,NL
2012/03/08/gid_2012_03_08_bosmlb_slnmlb_1/,away,bos,bos,BOS,111,Boston,"Boston Red Sox","Red Sox",3,1,201,103,AL
2012/03/08/gid_2012_03_08_bosmlb_slnmlb_1/,home,sln,stl,STL,138,"St. Louis","St. Louis Cardinals",Cardinals,1,2,205,104,NL
2012/03/08/gid_2012_03_08_chamlb_texmlb_1/,home,tex,tex,TEX,140,Texas,"Texas Rangers",Rangers,2,3,200,103,AL
2012/03/08/gid_2012_03_08_chamlb_texmlb_1/,away,cha,cws,CWS,145,"Chi White Sox","Chicago White Sox","White Sox",1,3,202,103,AL
2012/03/08/gid_2012_03_08_cinmlb_milmlb_1/,away,cin,cin,CIN,113,Cincinnati,"Cincinnati Reds",Reds,3,2,205,104,NL
2012/03/08/gid_2012_03_08_cinmlb_milmlb_1/,home,mil,mil,MIL,158,Milwaukee,"Milwaukee Brewers",Brewers,2,2,205,104,NL
2012/03/08/gid_2012_03_08_detmlb_tbamlb_1/,away,det,det,DET,116,Detroit,"Detroit Tigers",Tigers,6,0,202,103,AL
2012/03/08/gid_2012_03_08_detmlb_tbamlb_1/,home,tba,tb,TB,139,"Tampa Bay","Tampa Bay Rays",Rays,2,5,201,103,AL
2012/03/08/gid_2012_03_08_houmlb_wasmlb_1/,away,hou,hou,HOU,117,Houston,"Houston Astros",Astros,4,2,NULL,104,NL
2012/03/08/gid_2012_03_08_houmlb_wasmlb_1/,home,was,was,WSH,120,Washington,"Washington Nationals",Nationals,3,2,NULL,104,NL
2012/03/08/gid_2012_03_08_kcamlb_colmlb_1/,home,col,col,COL,115,Colorado,"Colorado Rockies",Rockies,1,3,NULL,104,NL
2012/03/08/gid_2012_03_08_kcamlb_colmlb_1/,away,kca,kc,KC,118,"Kansas City","Kansas City Royals",Royals,4,2,NULL,103,AL
2012/03/08/gid_2012_03_08_miamlb_nynmlb_1/,home,nyn,nym,NYM,121,"NY Mets","New York Mets",Mets,2,3,NULL,104,NL
2012/03/08/gid_2012_03_08_miamlb_nynmlb_1/,away,mia,mia,MIA,146,Miami,"Miami Marlins",Marlins,2,2,NULL,104,NL
2012/03/08/gid_2012_03_08_nyamlb_tormlb_1/,home,tor,tor,TOR,141,Toronto,"Toronto Blue Jays","Blue Jays",4,2,NULL,103,AL
2012/03/08/gid_2012_03_08_nyamlb_tormlb_1/,away,nya,nyy,NYY,147,"NY Yankees","New York Yankees",Yankees,2,4,NULL,103,AL
